id,sale_date,address,city,state,zip,beds,baths,sqft,lot_sqft,year_built,property_type,sale_price,latitude,longitude,days_on_market,agent_name,agent_phone,sale_type,hoa_fee,description
1,2020-10-12,9774 Washington Ave,Houston,TX,13278,4,2.2,2608,3676,1950,Single Family,468921,35.36668,-107.399939,22,Sam Johnson,+1-892-958-9935,Cash,0.0,"4 bed / 2.2 bath single family in Houston, built in 1950."
2,2022-10-31,3711 Lakeview Rd,Los Angeles,CA,13905,2,1.3,1237,200,1903,Single Family,207415,39.21795,-121.352326,21,Avery Smith,+1-774-403-9928,VA,0.0,"2 bed / 1.3 bath single family in Los Angeles, built in 1903."
3,2020-11-22,5614 Oak Ave,Denver,CO,46463,2,1.5,2557,7164,1881,Townhouse,318283,25.825325,-72.168737,20,Sam Davis,+1-548-484-3547,Mortgage,24.26,"2 bed / 1.5 bath townhouse in Denver, built in 1881."
4,2021-12-05,2145 Washington Ave,Chicago,IL,59797,3,1.0,1957,8953,1904,Single Family,440657,31.512377,-76.761962,14,Avery Jones,+1-244-947-8527,Conventional,0.0,"3 bed / 1 bath single family in Chicago, built in 1904."
5,2023-06-20,3833 Cedar Ln,Chicago,IL,82357,3,1.8,2265,9550,1955,Townhouse,692626,45.714482,-88.472007,2,Pat Miller,+1-791-396-2139,Cash,125.88,"3 bed / 1.8 bath townhouse in Chicago, built in 1955."
6,2022-07-17,4474 Oak Ave,Chicago,IL,40512,1,1.8,914,1215,1905,Single Family,291727,36.333158,-117.183128,65,Blake Miller,+1-366-579-6820,Mortgage,0.0,"1 bed / 1.8 bath single family in Chicago, built in 1905."
7,2021-05-16,1016 Maple St,Washington,DC,93227,6,2.1,1560,6367,1923,Single Family,101492,43.133227,-110.958505,15,Taylor Garcia,+1-588-476-4598,FHA,0.0,"6 bed / 2.1 bath single family in Washington, built in 1923."
8,2021-03-08,7617 Pine Dr,Los Angeles,CA,51347,1,2.3,2201,10632,1982,Single Family,491005,46.421416,-93.257492,6,Avery Anderson,+1-522-417-9179,VA,0.0,"1 bed / 2.3 bath single family in Los Angeles, built in 1982."
9,2023-01-08,3693 Pine Dr,Dallas,TX,28301,3,1.7,629,7184,1943,Condo,147777,30.330587,-117.167674,16,Casey Anderson,+1-798-638-7543,FHA,35.19,"3 bed / 1.7 bath condo in Dallas, built in 1943."
10,2024-10-29,1140 Washington Ave,Indianapolis,IN,74686,4,2.2,1740,200,1903,Townhouse,437745,31.687515,-72.228844,1,Jamie Brown,+1-842-363-7916,Conventional,369.49,"4 bed / 2.2 bath townhouse in Indianapolis, built in 1903."
11,2025-06-11,4471 Elm St,Fort Worth,TX,88104,1,2.3,1794,9069,1999,Single Family,180626,33.826795,-87.958568,39,Drew Smith,+1-896-938-2876,Conventional,0.0,"1 bed / 2.3 bath single family in Fort Worth, built in 1999."
12,2020-01-07,1843 Cedar Ln,Houston,TX,48469,2,2.6,1405,9692,1991,Single Family,569868,37.290233,-111.089741,0,Sam Anderson,+1-469-712-3927,Conventional,0.0,"2 bed / 2.6 bath single family in Houston, built in 1991."
13,2024-04-10,5410 Lakeview Rd,Indianapolis,IN,89818,3,1.4,1542,9254,1930,Single Family,235407,30.804455,-118.693142,22,Taylor Rodriguez,+1-997-743-1009,Conventional,0.0,"3 bed / 1.4 bath single family in Indianapolis, built in 1930."
